ride_date,station_id,daily_ridership,raw_text_field,subway_ridership,bus_ridership,lirr_ridership,metro_north_ridership,access_a_ride_ridership,bridges_tunnels_ridership,pre_pandemic_comparison
2020-11-17,1,100000,MTA Aggregate,100000,100000,86965,40078,0,0,21
2020-11-18,1,100000,MTA Aggregate,100000,100000,84069,39693,0,0,21
2020-11-19,1,100000,MTA Aggregate,100000,100000,84662,40122,0,0,21
2020-11-20,1,100000,MTA Aggregate,100000,100000,87402,44683,0,0,20
2020-11-21,1,100000,MTA Aggregate,100000,100000,39204,27716,0,0,1
2020-11-22,1,100000,MTA Aggregate,100000,100000,31019,20269,0,0,3
2020-11-23,1,100000,MTA Aggregate,100000,100000,87693,40668,0,0,19
2020-11-24,1,100000,MTA Aggregate,100000,100000,89805,41772,0,0,20
2020-11-25,1,100000,MTA Aggregate,100000,100000,93444,46209,0,0,19
2020-11-26,1,100000,MTA Aggregate,100000,100000,72572,20393,0,0,28
2020-11-27,1,100000,MTA Aggregate,100000,100000,77273,25009,0,0,67
2020-11-28,1,100000,MTA Aggregate,100000,100000,37770,24688,0,0,35
2020-11-29,1,100000,MTA Aggregate,100000,100000,32628,21898,0,0,27
2020-11-30,1,100000,MTA Aggregate,100000,100000,80033,37026,0,0,18
2020-12-01,1,100000,MTA Aggregate,100000,100000,73589,35225,0,0,22
2020-12-02,1,100000,MTA Aggregate,100000,100000,73631,35615,0,0,21
2020-12-03,1,100000,MTA Aggregate,100000,100000,75093,37013,0,0,21
2020-12-04,1,100000,MTA Aggregate,100000,100000,72062,39228,0,0,20
2020-12-05,1,100000,MTA Aggregate,100000,100000,33528,19727,0,0,20
2020-12-06,1,100000,MTA Aggregate,100000,100000,35055,19652,0,0,26
2020-12-07,1,100000,MTA Aggregate,100000,100000,77787,36890,0,0,21
2020-12-08,1,100000,MTA Aggregate,100000,100000,75033,36403,0,0,20
2020-12-09,1,100000,MTA Aggregate,100000,100000,74734,35917,0,0,21
2020-12-10,1,100000,MTA Aggregate,100000,100000,76847,37600,0,0,21
2020-12-11,1,100000,MTA Aggregate,100000,100000,79717,42420,0,0,21
2020-12-12,1,100000,MTA Aggregate,100000,100000,41791,24118,0,0,0
2020-12-13,1,100000,MTA Aggregate,100000,100000,39293,22669,0,0,2
2020-12-14,1,100000,MTA Aggregate,100000,100000,75008,36057,0,0,19
2020-12-15,1,100000,MTA Aggregate,100000,100000,78446,38322,0,0,21
2020-12-16,1,100000,MTA Aggregate,100000,100000,68092,33572,0,0,19
2020-12-17,1,100000,MTA Aggregate,100000,100000,21417,12527,0,0,10
2020-12-18,1,100000,MTA Aggregate,100000,100000,74908,41287,0,0,20
2020-12-19,1,100000,MTA Aggregate,100000,100000,41101,24217,0,0,1
2020-12-20,1,100000,MTA Aggregate,100000,100000,32597,18767,0,0,22
2020-12-21,1,100000,MTA Aggregate,100000,100000,81225,39814,0,0,21
2020-12-22,1,100000,MTA Aggregate,100000,100000,82001,39579,0,0,21
2020-12-23,1,100000,MTA Aggregate,100000,100000,84404,42100,0,0,21
2020-12-24,1,100000,MTA Aggregate,100000,100000,75759,38899,0,0,14
2020-12-25,1,100000,MTA Aggregate,100000,100000,51348,14435,0,0,19
2020-12-26,1,100000,MTA Aggregate,100000,100000,36047,22076,0,0,20
2020-12-27,1,100000,MTA Aggregate,100000,100000,34432,20470,0,0,27
2020-12-28,1,100000,MTA Aggregate,100000,100000,81566,41012,0,0,19
2020-12-29,1,100000,MTA Aggregate,100000,100000,78904,39416,0,0,20
2020-12-30,1,100000,MTA Aggregate,100000,100000,79298,40962,0,0,19
2020-12-31,1,100000,MTA Aggregate,100000,100000,75157,39947,0,0,14
2021-01-01,1,100000,MTA Aggregate,100000,100000,28977,14988,0,0,29
2021-01-02,1,100000,MTA Aggregate,100000,100000,28879,23139,0,0,29
2021-01-03,1,100000,MTA Aggregate,100000,100000,20819,15546,0,0,27
2021-01-04,1,100000,MTA Aggregate,100000,100000,71078,35679,0,0,20
2021-01-05,1,100000,MTA Aggregate,100000,100000,70424,35805,0,0,21
2021-01-06,1,100000,MTA Aggregate,100000,100000,70289,35857,0,0,20
2021-01-07,1,100000,MTA Aggregate,100000,100000,69695,36344,0,0,19
2021-01-08,1,100000,MTA Aggregate,100000,100000,68649,39102,0,0,18
2021-01-09,1,100000,MTA Aggregate,100000,100000,26962,22332,0,0,20
2021-01-10,1,100000,MTA Aggregate,100000,100000,23751,18076,0,0,22
2021-01-11,1,100000,MTA Aggregate,100000,100000,72285,36015,0,0,19
2021-01-12,1,100000,MTA Aggregate,100000,100000,71403,36563,0,0,20
2021-01-13,1,100000,MTA Aggregate,100000,100000,70591,36488,0,0,19
2021-01-14,1,100000,MTA Aggregate,100000,100000,70937,37403,0,0,20
2021-01-15,1,100000,MTA Aggregate,100000,100000,70180,41025,0,0,18
2021-01-16,1,100000,MTA Aggregate,100000,100000,27116,22548,0,0,27
2021-01-17,1,100000,MTA Aggregate,100000,100000,24223,20269,0,0,33
2021-01-18,1,100000,MTA Aggregate,100000,100000,68674,22337,0,0,78
2021-01-19,1,100000,MTA Aggregate,100000,100000,72565,36885,0,0,20
2021-01-20,1,100000,MTA Aggregate,100000,100000,67925,35263,0,0,18
2021-01-21,1,100000,MTA Aggregate,100000,100000,71225,37003,0,0,20
2021-01-22,1,100000,MTA Aggregate,100000,100000,71317,40981,0,0,19
2021-01-23,1,100000,MTA Aggregate,100000,100000,27942,22216,0,0,27
2021-01-24,1,100000,MTA Aggregate,100000,100000,23974,17881,0,0,30
2021-01-25,1,100000,MTA Aggregate,100000,100000,73131,36509,0,0,20
2021-01-26,1,100000,MTA Aggregate,100000,100000,68237,34574,0,0,18
2021-01-27,1,100000,MTA Aggregate,100000,100000,70353,35635,0,0,19
2021-01-28,1,100000,MTA Aggregate,100000,100000,70023,37015,0,0,20
2021-01-29,1,100000,MTA Aggregate,100000,100000,65128,37760,0,0,16
2021-01-30,1,100000,MTA Aggregate,100000,100000,26642,21229,0,0,20
2021-01-31,1,100000,MTA Aggregate,100000,100000,23091,17531,0,0,23
2021-02-01,1,100000,MTA Aggregate,100000,100000,8611,12093,0,0,6
2021-02-02,1,100000,MTA Aggregate,100000,100000,22756,22258,0,0,9
2021-02-03,1,100000,MTA Aggregate,100000,100000,69068,36347,0,0,19
2021-02-04,1,100000,MTA Aggregate,100000,100000,71341,37590,0,0,21
2021-02-05,1,100000,MTA Aggregate,100000,100000,68866,40322,0,0,19
2021-02-06,1,100000,MTA Aggregate,100000,100000,29248,25168,0,0,30
2021-02-07,1,100000,MTA Aggregate,100000,100000,17110,14068,0,0,26
2021-02-08,1,100000,MTA Aggregate,100000,100000,70984,36921,0,0,19
